43025,-67,-79,-32
43027,-66,-78,-33
43029,-66,-81,-43
43031,-67,-80,-43
43034,-67,-79,-43
43038,-67,-79,-42
43040,-67,-80,-34
43042,-65,-80,-33
43044,-66,-79,-42
43046,-66,-78,-33
43048,-66,-78,-33
43051,-67,-78,-34
43053,-67,-79,-33
43055,-66,-78,-34
43057,-67,-78,-34
43059,-67,-80,-43
43061,-65,-80,-34
43063,-67,-80,-33
43066,-65,-80,-35
43068,-66,-75,-43
43070,-67,-78,-34
43072,-68,-76,-33
43074,-68,-74,-32
43076,-69,-74,-41
43078,-69,-74,-34
43080,-68,-76,-33
43083,-68,-76,-35
43085,-68,-77,-35
43087,-68,-76,-43
43089,-67,-75,-34
43091,-67,-75,-34
43093,-66,-73,-32
43095,-67,-74,-32
43097,-67,-76,-34
43100,-67,-74,-31
43102,-68,-75,-41
43104,-67,-75,-33
43106,-67,-76,-32
43108,-67,-75,-32
43110,-67,-76,-34
43112,-68,-75,-33
43115,-68,-74,-34
43117,-68,-74,-34
43119,-67,-74,-33
43121,-67,-76,-33
43123,-68,-75,-32
43125,-67,-76,-34
43127,-68,-74,-32
43129,-68,-75,-34
43132,-67,-75,-32
43138,-68,-74,-34
43140,-68,-74,-33
43142,-67,-75,-33
43144,-68,-74,-34
43146,-67,-74,-33
43149,-68,-76,-34
